order_item_id,order_id,product_id,line_number,quantity,unit_price_usd,discount_percent,line_total_usd
OI0000001,O000001,P0021,1,8,17850.00,0.00,142800.00
OI0000002,O000001,P0055,2,9,16840.00,15.00,128826.00
OI0000003,O000002,P0010,1,12,3500.00,10.00,37800.00
OI0000004,O000002,P0031,2,2,3650.00,0.00,7300.00
OI0000005,O000003,P0028,1,9,9080.00,5.00,77634.00
OI0000006,O000003,P0031,2,5,3650.00,0.00,18250.00
OI0000007,O000004,P0064,1,8,8250.00,0.00,66000.00
OI0000008,O000004,P0046,2,3,7120.00,0.00,21360.00
OI0000009,O000004,P0022,3,1,8500.00,0.00,8500.00
OI0000010,O000005,P0055,1,1,16840.00,10.00,15156.00
OI0000011,O000005,P0050,2,9,14600.00,0.00,131400.00
OI0000012,O000005,P0056,3,6,10190.00,0.00,61140.00
OI0000013,O000005,P0050,4,11,14600.00,0.00,160600.00
OI0000014,O000006,P0013,1,3,9840.00,0.00,29520.00
OI0000015,O000006,P0071,2,12,16680.00,15.00,170136.00
OI0000016,O000006,P0033,3,4,800.00,10.00,2880.00
OI0000017,O000006,P0058,4,4,1830.00,0.00,7320.00
OI0000018,O000007,P0059,1,7,14710.00,15.00,87524.50
OI0000019,O000008,P0060,1,2,8800.00,5.00,16720.00
OI0000020,O000008,P0002,2,8,12930.00,15.00,87924.00
OI0000021,O000008,P0017,3,3,3480.00,0.00,10440.00
OI0000022,O000009,P0017,1,1,3480.00,0.00,3480.00
OI0000023,O000009,P0049,2,7,16150.00,0.00,113050.00
OI0000024,O000009,P0052,3,8,13500.00,15.00,91800.00
OI0000025,O000010,P0077,1,9,14410.00,5.00,123205.50
OI0000026,O000010,P0015,2,4,8020.00,15.00,27268.00
OI0000027,O000010,P0077,3,4,14410.00,15.00,48994.00
OI0000028,O000010,P0009,4,9,5290.00,15.00,40468.50
OI0000029,O000011,P0067,1,4,16160.00,0.00,64640.00
OI0000030,O000012,P0036,1,11,10120.00,10.00,100188.00
OI0000031,O000012,P0063,2,3,3720.00,5.00,10602.00
OI0000032,O000012,P0011,3,5,6240.00,0.00,31200.00
OI0000033,O000012,P0039,4,2,3060.00,0.00,6120.00
OI0000034,O000013,P0051,1,2,12120.00,15.00,20604.00
OI0000035,O000013,P0014,2,7,14460.00,5.00,96159.00
OI0000036,O000014,P0055,1,8,16840.00,15.00,114512.00
OI0000037,O000014,P0068,2,3,2100.00,0.00,6300.00
OI0000038,O000014,P0021,3,1,17850.00,0.00,17850.00
OI0000039,O000015,P0051,1,1,12120.00,0.00,12120.00
OI0000040,O000015,P0051,2,2,12120.00,0.00,24240.00
OI0000041,O000015,P0025,3,5,13240.00,5.00,62890.00
OI0000042,O000015,P0029,4,8,8380.00,0.00,67040.00
OI0000043,O000015,P0039,5,3,3060.00,5.00,8721.00
OI0000044,O000016,P0028,1,6,9080.00,5.00,51756.00
OI0000045,O000017,P0028,1,8,9080.00,0.00,72640.00
OI0000046,O000017,P0052,2,1,13500.00,15.00,11475.00
OI0000047,O000018,P0052,1,3,13500.00,0.00,40500.00
OI0000048,O000018,P0011,2,4,6240.00,15.00,21216.00
OI0000049,O000019,P0044,1,2,13780.00,5.00,26182.00
OI0000050,O000020,P0054,1,6,10100.00,0.00,60600.00
OI0000051,O000020,P0024,2,1,11180.00,0.00,11180.00
OI0000052,O000020,P0059,3,5,14710.00,0.00,73550.00
OI0000053,O000021,P0027,1,6,4890.00,5.00,27873.00
OI0000054,O000021,P0057,2,8,5170.00,0.00,41360.00
OI0000055,O000021,P0061,3,2,9420.00,0.00,18840.00
OI0000056,O000022,P0017,1,8,3480.00,10.00,25056.00
OI0000057,O000022,P0046,2,3,7120.00,10.00,19224.00
OI0000058,O000023,P0013,1,3,9840.00,5.00,28044.00
OI0000059,O000023,P0012,2,9,6280.00,10.00,50868.00
OI0000060,O000023,P0049,3,4,16150.00,15.00,54910.00
OI0000061,O000024,P0007,1,11,4920.00,0.00,54120.00
OI0000062,O000025,P0073,1,8,1430.00,0.00,11440.00
OI0000063,O000025,P0013,2,4,9840.00,10.00,35424.00
OI0000064,O000025,P0008,3,9,5830.00,0.00,52470.00
OI0000065,O000025,P0025,4,3,13240.00,5.00,37734.00
OI0000066,O000025,P0026,5,12,13420.00,10.00,144936.00
OI0000067,O000026,P0071,1,5,16680.00,10.00,75060.00
OI0000068,O000026,P0029,2,9,8380.00,5.00,71649.00
OI0000069,O000027,P0020,1,3,5780.00,5.00,16473.00
OI0000070,O000027,P0043,2,12,9450.00,0.00,113400.00
OI0000071,O000027,P0041,3,6,12490.00,0.00,74940.00
OI0000072,O000027,P0001,4,2,4300.00,0.00,8600.00
OI0000073,O000028,P0048,1,9,12050.00,0.00,108450.00
OI0000074,O000028,P0068,2,7,2100.00,0.00,14700.00
OI0000075,O000028,P0034,3,4,10570.00,0.00,42280.00
OI0000076,O000029,P0017,1,9,3480.00,10.00,28188.00
OI0000077,O000029,P0056,2,7,10190.00,0.00,71330.00
OI0000078,O000029,P0073,3,5,1430.00,5.00,6792.50
OI0000079,O000030,P0019,1,10,7370.00,15.00,62645.00
OI0000080,O000030,P0017,2,4,3480.00,5.00,13224.00
OI0000081,O000030,P0057,3,11,5170.00,0.00,56870.00
OI0000082,O000031,P0043,1,6,9450.00,0.00,56700.00
OI0000083,O000032,P0031,1,3,3650.00,0.00,10950.00
OI0000084,O000033,P0004,1,12,16440.00,0.00,197280.00
OI0000085,O000033,P0021,2,3,17850.00,5.00,50872.50
OI0000086,O000033,P0055,3,2,16840.00,0.00,33680.00
OI0000087,O000033,P0074,4,5,10020.00,0.00,50100.00
OI0000088,O000033,P0057,5,9,5170.00,0.00,46530.00
OI0000089,O000034,P0049,1,12,16150.00,0.00,193800.00
OI0000090,O000034,P0024,2,9,11180.00,5.00,95589.00
OI0000091,O000035,P0026,1,9,13420.00,15.00,102663.00
OI0000092,O000036,P0054,1,4,10100.00,0.00,40400.00
OI0000093,O000037,P0036,1,3,10120.00,0.00,30360.00
OI0000094,O000037,P0047,2,1,2190.00,10.00,1971.00
OI0000095,O000038,P0033,1,11,800.00,0.00,8800.00
OI0000096,O000038,P0005,2,11,3300.00,0.00,36300.00
OI0000097,O000039,P0078,1,9,7660.00,0.00,68940.00
OI0000098,O000040,P0004,1,10,16440.00,0.00,164400.00
OI0000099,O000041,P0077,1,6,14410.00,15.00,73491.00
OI0000100,O000041,P0043,2,11,9450.00,0.00,103950.00
OI0000101,O000041,P0007,3,4,4920.00,10.00,17712.00
OI0000102,O000042,P0059,1,11,14710.00,5.00,153719.50
OI0000103,O000042,P0037,2,5,6650.00,0.00,33250.00
OI0000104,O000043,P0025,1,4,13240.00,15.00,45016.00
OI0000105,O000043,P0080,2,2,5590.00,0.00,11180.00
OI0000106,O000043,P0012,3,4,6280.00,15.00,21352.00
OI0000107,O000043,P0070,4,12,13990.00,5.00,159486.00
OI0000108,O000043,P0073,5,12,1430.00,0.00,17160.00
OI0000109,O000044,P0042,1,2,2830.00,15.00,4811.00
OI0000110,O000045,P0033,1,11,800.00,0.00,8800.00
OI0000111,O000045,P0003,2,9,14640.00,10.00,118584.00
OI0000112,O000045,P0045,3,1,14880.00,10.00,13392.00
OI0000113,O000045,P0044,4,8,13780.00,10.00,99216.00
OI0000114,O000046,P0026,1,12,13420.00,10.00,144936.00
OI0000115,O000046,P0056,2,8,10190.00,5.00,77444.00
OI0000116,O000046,P0037,3,7,6650.00,0.00,46550.00
OI0000117,O000047,P0008,1,2,5830.00,10.00,10494.00
OI0000118,O000048,P0039,1,5,3060.00,5.00,14535.00
OI0000119,O000048,P0067,2,7,16160.00,10.00,101808.00
OI0000120,O000048,P0015,3,6,8020.00,15.00,40902.00
OI0000121,O000048,P0041,4,11,12490.00,0.00,137390.00
OI0000122,O000048,P0006,5,2,570.00,0.00,1140.00
OI0000123,O000049,P0020,1,7,5780.00,0.00,40460.00
OI0000124,O000049,P0023,2,11,12130.00,0.00,133430.00
OI0000125,O000049,P0059,3,11,14710.00,5.00,153719.50
OI0000126,O000049,P0058,4,8,1830.00,15.00,12444.00
OI0000127,O000049,P0075,5,6,14230.00,0.00,85380.00
OI0000128,O000050,P0079,1,10,15570.00,15.00,132345.00
OI0000129,O000050,P0018,2,1,670.00,15.00,569.50
OI0000130,O000050,P0062,3,12,8730.00,0.00,104760.00
OI0000131,O000050,P0017,4,11,3480.00,0.00,38280.00
OI0000132,O000051,P0062,1,2,8730.00,15.00,14841.00
OI0000133,O000051,P0063,2,3,3720.00,0.00,11160.00
OI0000134,O000052,P0029,1,9,8380.00,0.00,75420.00
OI0000135,O000052,P0061,2,10,9420.00,15.00,80070.00
OI0000136,O000052,P0064,3,8,8250.00,5.00,62700.00
OI0000137,O000052,P0039,4,9,3060.00,0.00,27540.00
OI0000138,O000052,P0051,5,11,12120.00,0.00,133320.00
OI0000139,O000053,P0058,1,11,1830.00,0.00,20130.00
OI0000140,O000054,P0004,1,4,16440.00,5.00,62472.00
OI0000141,O000054,P0066,2,7,11920.00,0.00,83440.00
OI0000142,O000055,P0023,1,12,12130.00,0.00,145560.00
OI0000143,O000055,P0061,2,3,9420.00,0.00,28260.00
OI0000144,O000055,P0060,3,3,8800.00,5.00,25080.00
OI0000145,O000055,P0010,4,5,3500.00,5.00,16625.00
OI0000146,O000055,P0069,5,7,12320.00,5.00,81928.00
OI0000147,O000056,P0028,1,10,9080.00,0.00,90800.00
OI0000148,O000056,P0008,2,7,5830.00,15.00,34688.50
OI0000149,O000057,P0064,1,1,8250.00,15.00,7012.50
OI0000150,O000057,P0077,2,12,14410.00,0.00,172920.00
OI0000151,O000057,P0037,3,6,6650.00,0.00,39900.00
OI0000152,O000058,P0027,1,9,4890.00,0.00,44010.00
OI0000153,O000058,P0024,2,7,11180.00,15.00,66521.00
OI0000154,O000058,P0076,3,11,8140.00,0.00,89540.00
OI0000155,O000058,P0039,4,11,3060.00,15.00,28611.00
OI0000156,O000059,P0069,1,4,12320.00,5.00,46816.00
OI0000157,O000060,P0043,1,4,9450.00,0.00,37800.00
OI0000158,O000060,P0039,2,3,3060.00,15.00,7803.00
OI0000159,O000061,P0031,1,11,3650.00,15.00,34127.50
OI0000160,O000062,P0046,1,12,7120.00,0.00,85440.00
OI0000161,O000062,P0077,2,2,14410.00,0.00,28820.00
OI0000162,O000062,P0017,3,9,3480.00,0.00,31320.00
OI0000163,O000062,P0068,4,7,2100.00,15.00,12495.00
OI0000164,O000063,P0001,1,8,4300.00,0.00,34400.00
OI0000165,O000063,P0006,2,12,570.00,5.00,6498.00
OI0000166,O000063,P0048,3,8,12050.00,0.00,96400.00
OI0000167,O000063,P0071,4,4,16680.00,15.00,56712.00
OI0000168,O000064,P0033,1,8,800.00,0.00,6400.00
OI0000169,O000064,P0038,2,2,11890.00,0.00,23780.00
OI0000170,O000064,P0053,3,3,16730.00,0.00,50190.00
OI0000171,O000065,P0066,1,3,11920.00,0.00,35760.00
OI0000172,O000065,P0056,2,6,10190.00,0.00,61140.00
OI0000173,O000065,P0019,3,1,7370.00,0.00,7370.00
OI0000174,O000065,P0020,4,9,5780.00,0.00,52020.00
OI0000175,O000066,P0069,1,7,12320.00,0.00,86240.00
OI0000176,O000066,P0004,2,1,16440.00,0.00,16440.00
OI0000177,O000066,P0048,3,6,12050.00,10.00,65070.00
OI0000178,O000067,P0080,1,3,5590.00,0.00,16770.00
OI0000179,O000067,P0065,2,12,10680.00,0.00,128160.00
OI0000180,O000068,P0017,1,5,3480.00,0.00,17400.00
OI0000181,O000068,P0079,2,4,15570.00,15.00,52938.00
OI0000182,O000068,P0064,3,11,8250.00,10.00,81675.00
OI0000183,O000069,P0044,1,1,13780.00,15.00,11713.00
OI0000184,O000069,P0022,2,10,8500.00,10.00,76500.00
OI0000185,O000070,P0040,1,5,17530.00,10.00,78885.00
OI0000186,O000070,P0026,2,10,13420.00,5.00,127490.00
OI0000187,O000070,P0025,3,9,13240.00,0.00,119160.00
OI0000188,O000070,P0054,4,4,10100.00,0.00,40400.00
OI0000189,O000070,P0063,5,11,3720.00,15.00,34782.00
OI0000190,O000071,P0038,1,6,11890.00,0.00,71340.00
OI0000191,O000071,P0080,2,3,5590.00,0.00,16770.00
OI0000192,O000072,P0005,1,10,3300.00,5.00,31350.00
OI0000193,O000072,P0026,2,7,13420.00,15.00,79849.00
OI0000194,O000072,P0053,3,1,16730.00,15.00,14220.50
OI0000195,O000072,P0079,4,4,15570.00,0.00,62280.00
OI0000196,O000073,P0016,1,10,8740.00,10.00,78660.00
OI0000197,O000073,P0045,2,4,14880.00,10.00,53568.00
OI0000198,O000073,P0037,3,9,6650.00,0.00,59850.00
OI0000199,O000073,P0048,4,3,12050.00,10.00,32535.00
OI0000200,O000074,P0054,1,1,10100.00,15.00,8585.00
OI0000201,O000075,P0068,1,9,2100.00,0.00,18900.00
OI0000202,O000076,P0073,1,11,1430.00,5.00,14943.50
OI0000203,O000077,P0022,1,3,8500.00,0.00,25500.00
OI0000204,O000077,P0056,2,10,10190.00,5.00,96805.00
OI0000205,O000077,P0066,3,3,11920.00,0.00,35760.00
OI0000206,O000077,P0008,4,2,5830.00,10.00,10494.00
OI0000207,O000078,P0074,1,8,10020.00,5.00,76152.00
OI0000208,O000078,P0016,2,9,8740.00,0.00,78660.00
OI0000209,O000078,P0075,3,4,14230.00,0.00,56920.00
OI0000210,O000078,P0014,4,1,14460.00,0.00,14460.00
OI0000211,O000078,P0025,5,6,13240.00,5.00,75468.00
OI0000212,O000079,P0011,1,3,6240.00,0.00,18720.00
OI0000213,O000079,P0080,2,1,5590.00,15.00,4751.50
OI0000214,O000080,P0031,1,8,3650.00,15.00,24820.00
OI0000215,O000080,P0003,2,4,14640.00,0.00,58560.00
OI0000216,O000081,P0014,1,12,14460.00,0.00,173520.00
OI0000217,O000081,P0005,2,3,3300.00,10.00,8910.00
OI0000218,O000081,P0025,3,7,13240.00,5.00,88046.00
OI0000219,O000082,P0005,1,3,3300.00,5.00,9405.00
OI0000220,O000083,P0076,1,4,8140.00,0.00,32560.00
OI0000221,O000083,P0046,2,12,7120.00,0.00,85440.00
OI0000222,O000083,P0079,3,7,15570.00,10.00,98091.00
OI0000223,O000083,P0001,4,9,4300.00,10.00,34830.00
OI0000224,O000083,P0028,5,7,9080.00,10.00,57204.00
OI0000225,O000084,P0003,1,4,14640.00,5.00,55632.00
OI0000226,O000084,P0069,2,3,12320.00,0.00,36960.00
