order_id,customer_id,sales_rep_employee_id,order_date,order_status,currency
O000001,C00219,E00153,2025-09-17,Completed,USD
O000002,C00279,E00248,2023-07-18,Shipped,USD
O000003,C00241,E00192,2025-11-20,Completed,USD
O000004,C00073,E00160,2024-04-11,Shipped,USD
O000005,C00279,E00310,2024-04-01,Completed,USD
O000006,C00160,E00217,2023-12-19,Completed,USD
O000007,C00141,E00017,2024-12-24,Completed,USD
O000008,C00080,E00014,2023-04-30,Completed,USD
O000009,C00045,E00017,2025-08-20,Completed,USD
O000010,C00255,E00329,2024-02-25,Shipped,USD
O000011,C00247,E00280,2024-07-20,Completed,USD
O000012,C00076,E00281,2024-07-07,Completed,USD
O000013,C00384,E00280,2024-12-31,Processing,USD
O000014,C00342,E00177,2025-04-15,Shipped,USD
O000015,C00350,E00160,2024-10-13,Completed,USD
O000016,C00232,E00127,2023-04-23,Completed,USD
O000017,C00116,E00115,2024-11-27,Completed,USD
O000018,C00063,E00280,2023-02-07,Completed,USD
O000019,C00321,E00084,2025-10-12,Processing,USD
O000020,C00143,E00353,2025-10-01,Shipped,USD
O000021,C00429,E00017,2025-01-30,Cancelled,USD
O000022,C00256,E00034,2024-10-20,Processing,USD
O000023,C00433,E00211,2024-06-13,Completed,USD
O000024,C00340,E00192,2024-10-02,Completed,USD
O000025,C00296,E00140,2023-10-07,Completed,USD
O000026,C00205,E00184,2025-12-24,Completed,USD
O000027,C00261,E00140,2023-12-06,Completed,USD
O000028,C00033,E00179,2025-05-18,Processing,USD
O000029,C00418,E00153,2023-04-02,Completed,USD
O000030,C00410,E00123,2025-10-09,Processing,USD
O000031,C00346,E00123,2024-10-09,Completed,USD
O000032,C00262,E00081,2024-12-20,Completed,USD
O000033,C00224,E00014,2025-04-01,Completed,USD
O000034,C00067,E00123,2023-02-24,Completed,USD
O000035,C00119,E00177,2023-08-06,Completed,USD
O000036,C00193,E00084,2023-04-02,Completed,USD
O000037,C00308,E00140,2025-12-04,Completed,USD
O000038,C00134,E00217,2025-12-20,Processing,USD
O000039,C00381,E00281,2024-07-11,Completed,USD
O000040,C00020,E00123,2025-02-11,Completed,USD
O000041,C00068,E00217,2024-06-06,Completed,USD
O000042,C00295,E00284,2025-10-27,Completed,USD
O000043,C00283,E00153,2023-11-17,Shipped,USD
O000044,C00191,E00357,2023-07-07,Shipped,USD
O000045,C00164,E00217,2025-06-21,Shipped,USD
O000046,C00281,E00211,2024-08-14,Completed,USD
O000047,C00406,E00184,2023-03-29,Completed,USD
