order_id,material_cost,shipping_cost
O-00001,448.69,76.24
O-00002,239.31,152.96
O-00003,72.88,36.9
O-00004,790.93,164.82
O-00005,385.27,186.4
O-00006,810.71,117.73
O-00007,6377.85,1898.13
O-00008,1739.72,596.05
O-00009,6950.28,1851.14
O-00010,5878.43,863.9
O-00011,147.39,55.64
O-00012,48.05,6.98
O-00013,5067.36,1172.84
O-00014,1582.3,290.52
O-00015,1571.94,270.72
O-00016,1386.07,780.18
O-00017,2817.39,768.79
O-00018,424.2,127.21
O-00019,2346.33,986.97
O-00020,1370.58,362.61
O-00021,858.27,235.26
O-00022,665.91,261.43
O-00023,2935.9,882.19
O-00024,836.17,152.61
O-00025,425.64,48.91
O-00026,377.51,104.51
O-00027,1375.37,393.56
O-00028,7063.03,1087.05
O-00029,959.24,154.27
O-00030,950.26,76.12
O-00031,312.44,37.43
O-00032,2457.72,255.11
O-00033,1469.34,412.58
O-00034,886.32,137.91
O-00035,5722.26,1128.28
O-00036,1260.1,299.19
O-00037,112.19,19.87
O-00038,6493.24,2207.63
O-00039,991.31,308.76
O-00040,1006.67,336.78
O-00041,1143.38,202.16
O-00042,526.94,318.07
O-00043,791.8,147.78
O-00044,2485.65,542.75
O-00045,3216.77,606.69
O-00046,10887.33,1389.46
O-00047,3602.32,582.13
O-00048,1612.95,180.92
O-00049,513.4,191.56
O-00050,775.86,183.92
O-00051,2287.14,367.87
O-00052,368.77,64.53
O-00053,2190.06,713.24
O-00054,4122.02,1279.4
O-00055,1615.04,451.3
O-00056,1680.89,456.59
O-00057,1557.8,371.84
O-00058,366.03,93.99
O-00059,522.5,94.37
O-00060,2220.59,846.79
O-00061,5179.0,2231.2
O-00062,516.08,88.81
O-00063,406.08,124.09
O-00064,643.69,95.95
O-00065,623.82,174.07
O-00066,1630.7,264.56
O-00067,832.21,121.17
O-00068,3602.13,732.8
O-00069,40.61,5.86
O-00070,1094.71,333.01
O-00071,542.47,252.41
O-00072,4355.55,1023.11
