customer_id,country
C-0001,France
C-0002,Germany
C-0003,Italy
C-0004,Spain
C-0005,Spain
C-0006,UK
C-0007,France
C-0008,Australia
C-0009,France
C-0010,Singapore
C-0011,Canada
C-0012,Germany
C-0013,Germany
C-0014,France
C-0015,Spain
C-0016,Spain
C-0017,Australia
C-0018,Singapore
C-0019,Germany
C-0020,Australia
C-0021,Spain
C-0022,Australia
C-0023,Canada
C-0024,Spain
C-0025,Japan
C-0026,Singapore
C-0027,Italy
C-0028,Germany
C-0029,UK
C-0030,Canada
C-0031,USA
C-0032,Italy
C-0033,UK
C-0034,Spain
C-0035,USA
C-0036,France
C-0037,France
C-0038,Canada
C-0039,France
C-0040,USA
C-0041,USA
C-0042,Singapore
C-0043,Italy
C-0044,Germany
C-0045,Japan
C-0046,Australia
C-0047,France
C-0048,Canada
C-0049,France
C-0050,Australia
C-0051,Italy
C-0052,Singapore
C-0053,USA
C-0054,Singapore
C-0055,Spain
C-0056,France
C-0057,Germany
C-0058,Spain
C-0059,Italy
C-0060,France
C-0061,Spain
C-0062,France
C-0063,Canada
C-0064,Italy
C-0065,Japan
C-0066,USA
C-0067,UK
C-0068,USA
C-0069,USA
C-0070,Spain
C-0071,Italy
C-0072,France
C-0073,Singapore
C-0074,UK
C-0075,Australia
C-0076,Spain
C-0077,UK
C-0078,Japan
C-0079,Canada
C-0080,Italy
C-0081,Australia
C-0082,Spain
C-0083,USA
C-0084,Germany
C-0085,Spain
C-0086,Germany
C-0087,USA
C-0088,Canada
C-0089,Italy
C-0090,France
C-0091,Spain
C-0092,Singapore
C-0093,USA
C-0094,Spain
C-0095,Japan
C-0096,Canada
C-0097,Japan
C-0098,UK
C-0099,Italy
C-0100,UK
