order_id,customer_id,product_id,order_date,quantity,unit_price,revenue,quarter
O-00001,C-0032,P-104,2025-10-03,9,159.22,1432.98,Q4
O-00002,C-0055,P-104,2025-07-24,12,131.51,1578.12,Q3
O-00003,C-0018,P-104,2025-09-10,3,159.68,479.04,Q3
O-00004,C-0015,P-101,2025-11-18,6,430.89,2585.34,Q4
O-00005,C-0055,P-104,2025-02-02,13,140.04,1820.52,Q1
O-00006,C-0060,P-104,2025-05-09,18,165.19,2973.42,Q2
O-00007,C-0002,P-100,2025-12-16,18,1275.37,22956.66,Q4
O-00008,C-0099,P-102,2025-02-27,10,761.73,7617.3,Q1
O-00009,C-0059,P-100,2025-05-15,17,1280.02,21760.34,Q2
O-00010,C-0065,P-100,2025-11-17,10,1313.5,13135.0,Q4
O-00011,C-0065,P-104,2025-04-12,5,139.63,698.15,Q2
O-00012,C-0021,P-104,2025-09-29,1,151.44,151.44,Q3
O-00013,C-0063,P-100,2025-02-27,12,1329.06,15948.72,Q1
O-00014,C-0040,P-101,2025-01-30,8,442.92,3543.36,Q1
O-00015,C-0011,P-100,2025-09-06,3,1370.75,4112.25,Q3
O-00016,C-0069,P-101,2025-03-07,16,452.56,7240.96,Q1
O-00017,C-0022,P-102,2025-09-28,20,758.48,15169.6,Q3
O-00018,C-0028,P-104,2025-12-20,7,157.43,1102.01,Q4
O-00019,C-0052,P-102,2025-08-13,17,766.42,13029.14,Q3
O-00020,C-0032,P-101,2025-02-02,11,322.94,3552.34,Q1
O-00021,C-0071,P-101,2025-10-29,8,321.01,2568.08,Q4
O-00022,C-0091,P-100,2025-04-28,3,1340.28,4020.84,Q2
O-00023,C-0043,P-100,2025-09-21,8,1076.96,8615.68,Q3
O-00024,C-0063,P-101,2025-10-04,5,421.27,2106.35,Q4
O-00025,C-0074,P-104,2025-08-31,8,161.19,1289.52,Q3
O-00026,C-0053,P-101,2025-02-18,4,412.26,1649.04,Q1
O-00027,C-0046,P-103,2025-07-30,15,275.59,4133.85,Q3
O-00028,C-0007,P-100,2025-02-01,13,1265.85,16456.05,Q1
O-00029,C-0014,P-101,2025-04-09,7,395.08,2765.56,Q2
O-00030,C-0018,P-103,2025-04-04,9,240.48,2164.32,Q2
O-00031,C-0010,P-103,2025-10-09,4,204.43,817.72,Q4
O-00032,C-0070,P-100,2025-02-17,8,1029.85,8238.8,Q1
O-00033,C-0063,P-103,2025-04-20,13,278.96,3626.48,Q2
O-00034,C-0022,P-103,2025-01-02,13,223.21,2901.73,Q1
O-00035,C-0059,P-102,2025-08-05,18,825.32,14855.76,Q3
O-00036,C-0063,P-101,2025-04-08,10,350.48,3504.8,Q2
O-00037,C-0008,P-104,2025-10-05,2,159.27,318.54,Q4
O-00038,C-0008,P-100,2025-10-27,16,1171.2,18739.2,Q4
O-00039,C-0068,P-101,2025-01-30,17,331.22,5630.74,Q1
O-00040,C-0024,P-100,2025-11-01,3,1243.59,3730.77,Q4
O-00041,C-0031,P-103,2025-03-03,19,221.54,4209.26,Q1
O-00042,C-0077,P-100,2025-11-14,3,1136.07,3408.21,Q4
O-00043,C-0075,P-104,2025-09-25,11,169.07,1859.77,Q3
O-00044,C-0027,P-102,2025-05-03,9,750.82,6757.38,Q2
O-00045,C-0086,P-102,2025-08-23,11,900.13,9901.43,Q3
O-00046,C-0010,P-100,2025-08-23,20,1379.35,27587.0,Q3
O-00047,C-0013,P-100,2025-10-03,7,1172.47,8207.29,Q4
O-00048,C-0017,P-102,2025-02-05,8,743.47,5947.76,Q1
O-00049,C-0021,P-103,2025-10-06,10,253.52,2535.2,Q4
O-00050,C-0084,P-104,2025-01-05,18,135.72,2442.96,Q1
O-00051,C-0085,P-100,2025-03-10,9,1008.48,9076.32,Q1
O-00052,C-0014,P-104,2025-03-21,9,134.79,1213.11,Q1
O-00053,C-0027,P-102,2025-04-15,9,781.51,7033.59,Q2
O-00054,C-0033,P-100,2025-02-17,14,1308.33,18316.62,Q1
O-00055,C-0006,P-100,2025-06-20,5,1227.59,6137.95,Q2
O-00056,C-0034,P-101,2025-08-15,18,418.79,7538.22,Q3
O-00057,C-0072,P-100,2025-02-27,3,1356.92,4070.76,Q1
O-00058,C-0089,P-101,2025-10-07,2,436.84,873.68,Q4
O-00059,C-0075,P-104,2025-03-17,14,126.69,1773.66,Q1
O-00060,C-0040,P-102,2025-01-21,12,698.82,8385.84,Q1
O-00061,C-0032,P-100,2025-07-01,18,1331.34,23964.12,Q3
O-00062,C-0053,P-104,2025-03-21,8,165.39,1323.12,Q1
O-00063,C-0023,P-103,2025-01-13,6,264.45,1586.7,Q1
O-00064,C-0043,P-103,2025-12-09,8,223.35,1786.8,Q4
O-00065,C-0090,P-100,2025-07-15,2,1320.61,2641.22,Q3
O-00066,C-0029,P-101,2025-08-24,12,362.73,4352.76,Q3
O-00067,C-0030,P-101,2025-01-13,7,375.79,2630.53,Q1
O-00068,C-0036,P-100,2025-05-23,12,1229.42,14753.04,Q2
O-00069,C-0052,P-104,2025-06-19,1,126.06,126.06,Q2
O-00070,C-0034,P-101,2025-10-25,9,325.36,2928.24,Q4
O-00071,C-0077,P-103,2025-06-26,11,238.18,2619.98,Q2
O-00072,C-0066,P-100,2025-07-17,19,1039.83,19756.77,Q3
O-00073,C-0006,P-103,2025-01-01,17,280.99,4776.83,Q1
O-00074,C-0069,P-101,2025-07-06,14,329.8,4617.2,Q3
O-00075,C-0086,P-102,2025-11-16,11,825.75,9083.25,Q4
O-00076,C-0016,P-102,2025-09-17,10,826.73,8267.3,Q3
O-00077,C-0042,P-103,2025-12-23,10,248.51,2485.1,Q4
O-00078,C-0025,P-103,2025-12-07,13,259.27,3370.51,Q4
O-00079,C-0023,P-104,2025-10-19,10,141.32,1413.2,Q4
O-00080,C-0001,P-102,2025-05-27,7,760.37,5322.59,Q2
O-00081,C-0075,P-104,2025-12-02,11,144.41,1588.51,Q4
O-00082,C-0057,P-101,2025-09-19,16,431.12,6897.92,Q3
O-00083,C-0095,P-101,2025-12-04,3,359.73,1079.19,Q4
O-00084,C-0085,P-104,2025-06-21,3,162.97,488.91,Q2
O-00085,C-0097,P-101,2025-12-11,10,351.45,3514.5,Q4
O-00086,C-0026,P-101,2025-01-13,2,354.28,708.56,Q1
O-00087,C-0061,P-104,2025-02-07,15,141.76,2126.4,Q1
O-00088,C-0081,P-104,2025-04-10,13,145.95,1897.35,Q2
O-00089,C-0032,P-101,2025-12-02,1,444.97,444.97,Q4
O-00090,C-0099,P-100,2025-08-06,8,1033.87,8270.96,Q3
O-00091,C-0090,P-104,2025-08-26,2,149.26,298.52,Q3
O-00092,C-0016,P-103,2025-03-10,15,258.41,3876.15,Q1
O-00093,C-0072,P-104,2025-06-12,15,152.16,2282.4,Q2
O-00094,C-0093,P-104,2025-08-07,18,143.41,2581.38,Q3
O-00095,C-0021,P-103,2025-08-19,9,265.78,2392.02,Q3
O-00096,C-0082,P-102,2025-09-24,16,815.49,13047.84,Q3
O-00097,C-0036,P-103,2025-02-09,10,220.52,2205.2,Q1
O-00098,C-0043,P-102,2025-10-04,3,678.74,2036.22,Q4
O-00099,C-0030,P-103,2025-12-22,5,261.81,1309.05,Q4
O-00100,C-0009,P-103,2025-07-28,11,247.48,2722.28,Q3
O-00101,C-0054,P-100,2025-04-16,14,1123.58,15730.12,Q2
O-00102,C-0099,P-104,2025-12-23,1,164.98,164.98,Q4
O-00103,C-0098,P-104,2025-07-14,16,120.31,1924.96,Q3
O-00104,C-0046,P-102,2025-07-19,14,790.7,11069.8,Q3
O-00105,C-0095,P-104,2025-11-05,8,145.63,1165.04,Q4
O-00106,C-0035,P-103,2025-09-06,1,234.03,234.03,Q3
O-00107,C-0086,P-103,2025-03-26,15,280.46,4206.9,Q1
O-00108,C-0080,P-104,2025-01-14,13,151.07,1963.91,Q1
O-00109,C-0085,P-100,2025-02-12,14,1016.99,14237.86,Q1
O-00110,C-0060,P-101,2025-01-26,9,373.07,3357.63,Q1
O-00111,C-0028,P-103,2025-06-17,11,266.61,2932.71,Q2
O-00112,C-0049,P-102,2025-08-04,9,873.78,7864.02,Q3
O-00113,C-0061,P-100,2025-10-04,2,1379.96,2759.92,Q4
O-00114,C-0045,P-101,2025-11-29,3,429.37,1288.11,Q4
O-00115,C-0084,P-100,2025-01-16,8,1043.73,8349.84,Q1
O-00116,C-0003,P-104,2025-03-20,8,126.63,1013.04,Q1
O-00117,C-0086,P-100,2025-10-16,7,1155.31,8087.17,Q4
O-00118,C-0033,P-102,2025-03-27,20,810.03,16200.6,Q1
O-00119,C-0096,P-100,2025-03-25,10,1005.4,10054.0,Q1
O-00120,C-0004,P-102,2025-10-22,13,751.06,9763.78,Q4
O-00121,C-0092,P-101,2025-02-08,19,416.69,7917.11,Q1
O-00122,C-0081,P-101,2025-02-22,10,439.04,4390.4,Q1
O-00123,C-0077,P-100,2025-10-17,2,1105.83,2211.66,Q4
O-00124,C-0055,P-102,2025-02-05,17,821.31,13962.27,Q1
